,Combined_Score
tqwt_meanValue_dec_28,0.035361
tqwt_kurtosisValue_dec_27,0.035163
tqwt_stdValue_dec_23,0.034995
det_LT_entropy_log_10_coef,0.034510
tqwt_TKEO_mean_dec_3,0.034509
det_entropy_shannon_10_coef,0.034403
tqwt_meanValue_dec_27,0.034338
tqwt_stdValue_dec_25,0.034150
det_LT_entropy_shannon_1_coef,0.034081
tqwt_TKEO_std_dec_23,0.033872
GNE_mean,0.033119
det_TKEO_mean_8_coef,0.033016
tqwt_entropy_shannon_dec_6,0.032711
VFER_SNR_TKEO,0.032681
tqwt_minValue_dec_29,0.032661
tqwt_meanValue_dec_31,0.032563
det_TKEO_mean_10_coef,0.032448
tqwt_maxValue_dec_29,0.032387
std_12th_delta,0.031970
tqwt_medianValue_dec_30,0.031658
std_9th_delta_delta,0.031574
Ed_10_coef,0.031265
Ed_1_coef,0.031174
tqwt_maxValue_dec_24,0.030330
det_entropy_shannon_8_coef,0.030061
det_LT_entropy_log_8_coef,0.029564
tqwt_kurtosisValue_dec_3,0.028915
tqwt_entropy_shannon_dec_25,0.028559
tqwt_kurtosisValue_dec_20,0.028269
tqwt_minValue_dec_21,0.028194
det_TKEO_std_8_coef,0.028164
det_entropy_log_10_coef,0.027918
std_7th_delta_delta,0.027867
tqwt_entropy_shannon_dec_3,0.027552
std_11th_delta,0.027358
tqwt_maxValue_dec_1,0.027293
tqwt_kurtosisValue_dec_2,0.027029
tqwt_kurtosisValue_dec_6,0.026845
tqwt_entropy_log_dec_24,0.026799
tqwt_meanValue_dec_29,0.026077
b1,0.025947
mean_MFCC_9th_coef,0.025797
tqwt_minValue_dec_30,0.025769
tqwt_stdValue_dec_10,0.025592
Ed_8_coef,0.025486
det_TKEO_mean_4_coef,0.025360
tqwt_kurtosisValue_dec_16,0.025339
det_entropy_log_8_coef,0.025289
det_entropy_log_7_coef,0.025136
det_LT_entropy_log_3_coef,0.025065
tqwt_maxValue_dec_6,0.024781
tqwt_meanValue_dec_24,0.024087
tqwt_kurtosisValue_dec_1,0.023806
tqwt_energy_dec_28,0.023785
det_entropy_shannon_2_coef,0.023642
tqwt_kurtosisValue_dec_26,0.023566
det_entropy_log_9_coef,0.023485
tqwt_maxValue_dec_2,0.023399
tqwt_medianValue_dec_3,0.023374
std_8th_delta,0.023368
tqwt_kurtosisValue_dec_13,0.023359
det_LT_entropy_log_5_coef,0.022873
tqwt_medianValue_dec_1,0.022866
tqwt_skewnessValue_dec_5,0.022717
tqwt_entropy_shannon_dec_22,0.022604
tqwt_skewnessValue_dec_11,0.022560
tqwt_kurtosisValue_dec_11,0.022357
tqwt_energy_dec_13,0.022228
mean_MFCC_0th_coef,0.022185
tqwt_entropy_log_dec_4,0.021989
tqwt_kurtosisValue_dec_18,0.021924
tqwt_minValue_dec_6,0.021851
std_delta_delta_log_energy,0.021632
tqwt_stdValue_dec_6,0.021180
tqwt_entropy_shannon_dec_24,0.020899
mean_MFCC_3rd_coef,0.020580
tqwt_TKEO_std_dec_24,0.020541
tqwt_kurtosisValue_dec_17,0.020526
tqwt_TKEO_std_dec_1,0.020438
tqwt_kurtosisValue_dec_12,0.020258
tqwt_stdValue_dec_5,0.020204
tqwt_stdValue_dec_4,0.019852
tqwt_kurtosisValue_dec_23,0.019802
tqwt_maxValue_dec_23,0.019514
tqwt_TKEO_std_dec_12,0.019380
tqwt_TKEO_mean_dec_24,0.019342
tqwt_skewnessValue_dec_1,0.019287
det_TKEO_mean_2_coef,0.019126
std_6th_delta_delta,0.018917
det_entropy_log_5_coef,0.018897
tqwt_energy_dec_6,0.018734
det_entropy_log_6_coef,0.018420
tqwt_minValue_dec_23,0.018333
tqwt_entropy_log_dec_29,0.017945
tqwt_skewnessValue_dec_2,0.017808
det_entropy_log_3_coef,0.017778
std_10th_delta,0.017722
det_LT_entropy_log_6_coef,0.016813
