,score
mean_5th_delta,0.0018545316717437379
tqwt_medianValue_dec_13,0.0018537928223355464
tqwt_medianValue_dec_14,0.0018534848005383343
app_TKEO_std_5_coef,0.0018501075592789477
tqwt_medianValue_dec_16,0.0018452184868316716
tqwt_medianValue_dec_7,0.001819317905678913
tqwt_maxValue_dec_8,0.0018164532883338334
app_TKEO_std_8_coef,0.0018045719366876066
tqwt_skewnessValue_dec_1,0.0018015886100160182
app_det_TKEO_mean_5_coef,0.0017995831117720684
tqwt_entropy_log_dec_33,0.00179360083361934
mean_12th_delta_delta,0.001793565303095212
app_det_TKEO_mean_7_coef,0.0017927852427599607
app_det_TKEO_mean_4_coef,0.0017912960797780097
app_det_TKEO_mean_6_coef,0.0017827698717421561
tqwt_skewnessValue_dec_35,0.001772517965763558
det_LT_entropy_log_6_coef,0.0017572834471103723
tqwt_energy_dec_13,0.0017555501698880648
tqwt_TKEO_std_dec_17,0.0017470428416018677
tqwt_stdValue_dec_24,0.0017424618658042489
tqwt_skewnessValue_dec_28,0.0017422593643249338
app_TKEO_std_4_coef,0.0017420469606868336
app_det_TKEO_mean_9_coef,0.0017396668092326964
app_det_TKEO_mean_8_coef,0.0017377399859354662
mean_0th_delta,0.0017248199288646133
tqwt_medianValue_dec_34,0.0017235005637600065
tqwt_skewnessValue_dec_31,0.0017210748460563588
det_LT_entropy_log_4_coef,0.0017197978357957801
std_delta_delta_log_energy,0.0017185024118194277
det_LT_entropy_log_5_coef,0.0017158757380769047
mean_MFCC_11th_coef,0.0017132954240594216
app_det_TKEO_mean_10_coef,0.0017122912481673557
app_TKEO_std_10_coef,0.001695893037068193
tqwt_skewnessValue_dec_33,0.001695229795094609
mean_1st_delta,0.0016915498184484187
tqwt_entropy_shannon_dec_11,0.0016882694448370921
GNE_NSR_SEO,0.001683091091459097
IMF_SNR_entropy,0.0016790648231746479
tqwt_skewnessValue_dec_2,0.0016784990022846848
tqwt_skewnessValue_dec_29,0.0016783749450602328
tqwt_skewnessValue_dec_32,0.0016749329126413233
tqwt_TKEO_mean_dec_18,0.0016669549604127376
tqwt_skewnessValue_dec_34,0.0016371208417157578
tqwt_maxValue_dec_24,0.001631948093053247
std_5th_delta,0.001621354404669455
tqwt_medianValue_dec_9,0.00162055586532866
tqwt_medianValue_dec_12,0.001615492659934309
tqwt_medianValue_dec_25,0.0016122550722749008
tqwt_TKEO_std_dec_18,0.0016047450595068483
tqwt_medianValue_dec_30,0.0015812514038425502
tqwt_entropy_log_dec_29,0.001578381222963077
app_TKEO_std_9_coef,0.001578256003837715
tqwt_skewnessValue_dec_23,0.001566506064507452
std_MFCC_1st_coef,0.001563026389458593
tqwt_kurtosisValue_dec_27,0.0015528991628442107
tqwt_entropy_log_dec_31,0.0015387996839344594
tqwt_maxValue_dec_7,0.0015385507550494477
mean_8th_delta_delta,0.0015338739496931328
mean_3rd_delta,0.001524439031363935
tqwt_entropy_shannon_dec_10,0.0015241744476990108
det_LT_entropy_log_3_coef,0.0015174281285262312
mean_9th_delta,0.0015034137065900763
mean_11th_delta,0.0014758278416318058
tqwt_skewnessValue_dec_36,0.0014508971738876352
tqwt_maxValue_dec_22,0.0014493445592090256
std_MFCC_9th_coef,0.0014413715802192866
tqwt_maxValue_dec_21,0.0014285299878304
tqwt_entropy_log_dec_32,0.0014180810868687083
tqwt_skewnessValue_dec_12,0.0014161663815669251
mean_5th_delta_delta,0.0014099814452886168
tqwt_skewnessValue_dec_4,0.0014062438017364177
tqwt_medianValue_dec_4,0.0014029762191335598
tqwt_TKEO_mean_dec_9,0.0013964448907629226
tqwt_maxValue_dec_25,0.0013918558357703327
det_entropy_log_9_coef,0.0013898197134849255
tqwt_medianValue_dec_23,0.0013849376552589523
app_TKEO_std_7_coef,0.0013807318662805406
tqwt_kurtosisValue_dec_29,0.0013647035748941124
mean_MFCC_7th_coef,0.001360630660245513
tqwt_stdValue_dec_7,0.0013599613245863316
std_1st_delta_delta,0.001332209175943041
app_det_TKEO_mean_3_coef,0.0013160518685749198
std_MFCC_11th_coef,0.0013075092703797554
std_1st_delta,0.0013038383440918799
tqwt_stdValue_dec_25,0.0012789991983901874
tqwt_skewnessValue_dec_15,0.0012782419161490902
mean_2nd_delta,0.0012708808758989368
det_LT_entropy_shannon_1_coef,0.0012606786912663227
mean_7th_delta,0.0012595697309218195
tqwt_stdValue_dec_21,0.0012538895026891147
mean_4th_delta_delta,0.0012117468927074773
app_LT_TKEO_mean_2_coef,0.0012085490742433803
det_entropy_log_8_coef,0.0011837682352696726
tqwt_TKEO_std_dec_9,0.0011833264871613063
tqwt_kurtosisValue_dec_5,0.0011677610685756905
det_entropy_log_6_coef,0.001163731275194409
mean_2nd_delta_delta,0.0011589823977640019
tqwt_skewnessValue_dec_6,0.0011552492824314926
tqwt_medianValue_dec_6,0.0011478380376982234
tqwt_kurtosisValue_dec_34,0.001135061790268494
tqwt_maxValue_dec_23,0.001086575068464089
tqwt_maxValue_dec_2,0.0010674175570213702
tqwt_medianValue_dec_21,0.001060699369471596
det_entropy_log_7_coef,0.001048265127451875
tqwt_kurtosisValue_dec_4,0.0010467491488103423
tqwt_entropy_log_dec_30,0.0010330950434060994
VFER_SNR_TKEO,0.001029674015304117
tqwt_medianValue_dec_35,0.0010246378338118608
tqwt_kurtosisValue_dec_26,0.0010228409446417916
meanNoiseToHarmHarmonicity,0.0010014301066016444
tqwt_entropy_shannon_dec_12,0.000995968013795192
std_2nd_delta,0.0009937310416324083
tqwt_skewnessValue_dec_8,0.000985026868675451
mean_4th_delta,0.0009827115233541196
std_2nd_delta_delta,0.0009714865496917837
std_MFCC_2nd_coef,0.0009683214981301895
tqwt_kurtosisValue_dec_3,0.0009496956008337987
std_MFCC_5th_coef,0.0009465616010486771
tqwt_energy_dec_12,0.0009316634399793182
tqwt_entropy_shannon_dec_31,0.0009230092629831506
tqwt_skewnessValue_dec_18,0.0009046691563874862
tqwt_energy_dec_20,0.0009044185786227414
tqwt_skewnessValue_dec_26,0.0008969956818227074
tqwt_energy_dec_25,0.0008864165255545858
tqwt_maxValue_dec_20,0.0008624204004161918
det_entropy_log_4_coef,0.0008552706677744111
det_entropy_log_5_coef,0.0008540309303273428
tqwt_kurtosisValue_dec_2,0.000828925916417834
tqwt_TKEO_std_dec_12,0.0008129851681781907
mean_10th_delta,0.0008057389145433914
tqwt_kurtosisValue_dec_6,0.0007833722174475899
tqwt_medianValue_dec_1,0.0007789340371578326
VFER_entropy,0.000777980003552859
tqwt_stdValue_dec_2,0.0007728940661741783
tqwt_medianValue_dec_2,0.0007713002023176081
tqwt_energy_dec_18,0.0007656992790317772
VFER_mean,0.0007515204713066161
tqwt_stdValue_dec_1,0.0007512671035236101
det_entropy_log_3_coef,0.0007343915148015656
tqwt_skewnessValue_dec_14,0.000725248649142647
tqwt_TKEO_mean_dec_10,0.0007211357928407441
mean_6th_delta,0.000711834468031833
mean_6th_delta_delta,0.0007084292131261938
tqwt_maxValue_dec_3,0.0007021447547761855
tqwt_energy_dec_19,0.0006999358020713825
app_TKEO_std_2_coef,0.0006994348837523068
std_0th_delta,0.0006974011143018189
app_det_TKEO_mean_2_coef,0.0006862580133066288
app_TKEO_std_3_coef,0.000685465271233977
