,UMCFS_Importance
f4,2626745784832.034
tqwt_energy_dec_4,2602333056402.2036
std_MFCC_11th_coef,2576831222783.4146
tqwt_medianValue_dec_34,2568348287243.1973
tqwt_kurtosisValue_dec_28,2566242797717.927
tqwt_medianValue_dec_20,2534842354935.7812
tqwt_kurtosisValue_dec_1,2517992707662.7686
tqwt_medianValue_dec_11,2510003371541.8755
tqwt_medianValue_dec_35,2478389581270.173
tqwt_medianValue_dec_19,2477518712542.3125
tqwt_minValue_dec_10,2467881942767.4614
VFER_SNR_SEO,2423537254084.381
tqwt_skewnessValue_dec_19,2406603246018.778
tqwt_skewnessValue_dec_14,2402803138325.9585
tqwt_skewnessValue_dec_26,2375949959519.924
tqwt_maxValue_dec_9,2340964037603.8613
tqwt_medianValue_dec_4,2331574224667.007
tqwt_maxValue_dec_24,2321326379953.619
tqwt_entropy_log_dec_31,2304614906410.107
tqwt_minValue_dec_12,2296971316336.5234
std_8th_delta_delta,2293160310913.334
tqwt_medianValue_dec_6,2258228187575.0986
tqwt_entropy_log_dec_27,2182584029789.8755
tqwt_medianValue_dec_14,2165531769599.0222
tqwt_medianValue_dec_13,2146570942270.3384
tqwt_TKEO_std_dec_35,2143639583342.2554
tqwt_skewnessValue_dec_35,2135979412345.5876
tqwt_medianValue_dec_1,2133638638549.6555
b3,2130045693540.498
tqwt_skewnessValue_dec_16,2125203666766.414
std_8th_delta,2111304057457.6199
tqwt_skewnessValue_dec_34,2103360455809.3652
tqwt_kurtosisValue_dec_27,2090642635438.5586
det_LT_entropy_shannon_7_coef,2080936066201.8145
tqwt_entropy_shannon_dec_21,2046660408581.6387
mean_6th_delta,2045131394070.3662
tqwt_kurtosisValue_dec_34,2036819877712.2776
mean_1st_delta_delta,2030186534780.509
tqwt_skewnessValue_dec_21,2020021812710.8132
mean_MFCC_11th_coef,2015947253873.5215
tqwt_maxValue_dec_11,1971839215548.0684
tqwt_kurtosisValue_dec_4,1970793105463.3914
std_MFCC_7th_coef,1963934194927.6567
tqwt_entropy_shannon_dec_23,1958404401535.0923
GNE_SNR_SEO,1931434702890.4438
IMF_NSR_TKEO,1919739504552.135
tqwt_skewnessValue_dec_31,1894307411560.0522
tqwt_maxValue_dec_22,1890201521569.0918
tqwt_skewnessValue_dec_28,1889154453073.9932
mean_MFCC_12th_coef,1887294712031.957
tqwt_skewnessValue_dec_18,1859975719691.1948
mean_11th_delta_delta,1852779894697.8867
tqwt_stdValue_dec_25,1842082066320.5227
mean_6th_delta_delta,1820648105364.9238
stdDevPeriodPulses,1800457307052.4453
std_10th_delta_delta,1795355371549.034
VFER_NSR_TKEO,1774353894722.55
std_MFCC_10th_coef,1743234392971.6367
tqwt_entropy_shannon_dec_18,1741830146234.47
mean_MFCC_7th_coef,1698787307540.8608
mean_MFCC_8th_coef,1641399478638.3513
std_4th_delta,1635308436182.934
std_3rd_delta,1634213764445.3179
tqwt_maxValue_dec_36,1609533257392.9487
tqwt_medianValue_dec_17,1594009190686.9011
tqwt_energy_dec_3,1584807270867.2798
std_MFCC_2nd_coef,1560252446906.514
mean_9th_delta,1520237548981.6309
tqwt_medianValue_dec_2,1498634957263.015
tqwt_medianValue_dec_10,1490669967549.8396
tqwt_TKEO_std_dec_19,1465718340948.2495
det_TKEO_mean_10_coef,1463801073448.0012
tqwt_medianValue_dec_18,1446936975397.531
tqwt_maxValue_dec_18,1402249974205.3403
tqwt_medianValue_dec_16,1398251245213.6206
tqwt_skewnessValue_dec_15,1387577124662.6665
IMF_SNR_SEO,1383499463111.3997
tqwt_TKEO_mean_dec_22,1382666690370.117
tqwt_medianValue_dec_21,1367454982294.2175
tqwt_medianValue_dec_22,1365113121524.7678
det_TKEO_std_4_coef,1349949058442.099
tqwt_TKEO_std_dec_9,1345755974344.5613
tqwt_entropy_shannon_dec_16,1322331689791.0103
std_2nd_delta_delta,1302859044803.1025
tqwt_entropy_log_dec_36,1301842920402.4863
det_entropy_log_4_coef,1296711773409.1416
Ed2_7_coef,1295608922027.6704
det_entropy_log_9_coef,1225554560038.9058
mean_3rd_delta_delta,1209731020006.573
mean_12th_delta,1119825566147.3545
std_3rd_delta_delta,1115862628465.1343
mean_4th_delta,1112881801337.1753
mean_12th_delta_delta,1104803181532.9243
std_MFCC_5th_coef,1102432235770.4604
f3,1097147496865.5947
mean_10th_delta,1083559678398.5074
std_4th_delta_delta,1070849093230.3965
tqwt_TKEO_std_dec_18,1065030122749.3651
tqwt_maxValue_dec_10,1018028707373.8804
tqwt_TKEO_mean_dec_16,1011784285969.7573
GQ_std_cycle_closed,996072696897.1907
std_7th_delta_delta,971704870318.3154
mean_MFCC_9th_coef,971093146627.4324
mean_2nd_delta_delta,961816714502.1118
tqwt_entropy_shannon_dec_22,959239075429.0261
mean_MFCC_10th_coef,947924297898.5535
std_11th_delta_delta,923471800616.0771
std_MFCC_9th_coef,911588144709.8438
tqwt_TKEO_std_dec_26,902225797665.108
std_MFCC_12th_coef,859630734272.6099
tqwt_medianValue_dec_8,855695255811.3239
mean_3rd_delta,838606984883.9342
tqwt_TKEO_std_dec_21,815024574739.5037
tqwt_medianValue_dec_12,764694798266.8456
tqwt_medianValue_dec_27,749385998151.5431
tqwt_medianValue_dec_28,708934903419.6207
std_delta_delta_log_energy,677690646344.4855
tqwt_TKEO_std_dec_22,671958558196.9264
b4,669329718903.6796
tqwt_skewnessValue_dec_7,650038260108.8593
tqwt_energy_dec_36,637380095861.4851
Ed2_9_coef,637048620321.6091
GQ_prc5_95,634437863683.8003
mean_11th_delta,631446446496.9838
tqwt_skewnessValue_dec_27,620018884587.3497
det_entropy_shannon_9_coef,610327530613.5768
std_MFCC_4th_coef,594825480777.1901
tqwt_skewnessValue_dec_36,564151472946.7651
mean_MFCC_3rd_coef,550317010028.5128
tqwt_entropy_shannon_dec_14,524839659238.9417
mean_9th_delta_delta,514061109677.53375
b2,499095783724.06036
RPDE,476829176263.2741
Ed2_4_coef,439368393335.47864
mean_MFCC_1st_coef,437398278796.80414
tqwt_energy_dec_33,428032711914.99176
std_7th_delta,419503997273.5165
mean_10th_delta_delta,405534560836.9632
tqwt_stdValue_dec_19,396370417627.4928
tqwt_stdValue_dec_24,394589468663.71985
std_Log_energy,383753663581.64606
