,0
tqwt_entropy_log_dec_23,4.442597388110404e-33
tqwt_entropy_log_dec_24,7.141937593719527e-33
tqwt_entropy_log_dec_25,5.1737392588759875e-33
tqwt_entropy_log_dec_26,8.663630539223884e-33
tqwt_entropy_log_dec_27,5.133413646424179e-33
tqwt_entropy_log_dec_28,2.038661874815592e-33
tqwt_entropy_log_dec_29,1.270248087622014e-32
tqwt_entropy_log_dec_30,9.487605001240534e-33
tqwt_entropy_log_dec_31,2.161763218279392e-33
tqwt_entropy_log_dec_32,2.2978886085509836e-32
tqwt_entropy_log_dec_33,8.271191495800019e-32
tqwt_entropy_log_dec_34,4.057441697074312e-33
tqwt_entropy_log_dec_35,5.6144037534058194e-33
tqwt_entropy_log_dec_36,8.271701407055322e-33
tqwt_TKEO_mean_dec_1,3.980439474253661e-33
tqwt_TKEO_mean_dec_2,6.513674324847479e-33
tqwt_TKEO_mean_dec_3,2.4184080658951906e-32
tqwt_TKEO_mean_dec_4,1.5129984940610176e-32
tqwt_TKEO_mean_dec_5,1.4798662955150047e-32
tqwt_TKEO_mean_dec_6,1.347074337194913e-31
tqwt_TKEO_mean_dec_7,1.1461813228978554e-32
tqwt_TKEO_mean_dec_8,1.1017826802143273e-33
tqwt_TKEO_mean_dec_9,3.275948228388726e-32
tqwt_TKEO_mean_dec_10,7.762533252986787e-32
tqwt_TKEO_mean_dec_11,8.41614314528863e-32
tqwt_TKEO_mean_dec_12,3.957319535864335e-32
tqwt_TKEO_mean_dec_13,2.1249749059674675e-32
tqwt_TKEO_mean_dec_14,1.1432283021096158e-31
tqwt_TKEO_mean_dec_15,1.9919780721264253e-33
tqwt_TKEO_mean_dec_16,9.201006731885825e-33
tqwt_TKEO_mean_dec_17,5.581427370310784e-32
tqwt_TKEO_mean_dec_18,7.840873834073591e-33
tqwt_TKEO_mean_dec_19,1.2520457888985677e-33
tqwt_TKEO_mean_dec_20,1.4623193829836195e-32
tqwt_TKEO_mean_dec_21,2.415239957915681e-32
tqwt_TKEO_mean_dec_22,7.509316646712073e-33
tqwt_TKEO_mean_dec_23,6.0427786167753454e-33
tqwt_TKEO_mean_dec_24,2.436096171345519e-33
tqwt_TKEO_mean_dec_25,1.9301359484482797e-32
tqwt_TKEO_mean_dec_26,1.1011463647240801e-31
tqwt_TKEO_mean_dec_27,2.5482487948346514e-32
tqwt_TKEO_mean_dec_28,3.180661731167706e-32
tqwt_TKEO_mean_dec_29,3.83608083258044e-32
tqwt_TKEO_mean_dec_30,4.1114614329659375e-33
tqwt_TKEO_mean_dec_31,5.632784950476336e-33
tqwt_TKEO_mean_dec_32,3.99124870843438e-32
tqwt_TKEO_mean_dec_33,1.1701314206548671e-32
tqwt_TKEO_mean_dec_34,4.2403764584611994e-32
tqwt_TKEO_mean_dec_35,4.1258115415172353e-33
tqwt_TKEO_mean_dec_36,6.259026576421044e-33
tqwt_TKEO_std_dec_1,7.4287030508467645e-34
tqwt_TKEO_std_dec_2,3.58055012433594e-32
tqwt_TKEO_std_dec_3,5.056270477602917e-33
tqwt_TKEO_std_dec_4,5.600095777196608e-33
tqwt_TKEO_std_dec_5,1.4124498812620425e-31
tqwt_TKEO_std_dec_6,1.4274872215072497e-33
tqwt_TKEO_std_dec_7,4.139516647850814e-34
tqwt_TKEO_std_dec_8,1.1073625033925213e-32
tqwt_TKEO_std_dec_9,3.628731369785714e-32
tqwt_TKEO_std_dec_10,6.477837891805999e-33
tqwt_TKEO_std_dec_11,2.3795818342507279e-32
tqwt_TKEO_std_dec_12,8.248317650531876e-32
tqwt_TKEO_std_dec_13,6.97409168039777e-32
tqwt_TKEO_std_dec_14,8.657941661732172e-33
tqwt_TKEO_std_dec_15,3.2125229556203476e-32
tqwt_TKEO_std_dec_16,1.6459585731211767e-32
tqwt_TKEO_std_dec_17,1.839124031070921e-32
tqwt_TKEO_std_dec_18,8.025983588156995e-33
tqwt_TKEO_std_dec_19,1.1735967878036836e-32
tqwt_TKEO_std_dec_20,3.3285368564778155e-32
tqwt_TKEO_std_dec_21,1.1471469569280828e-32
tqwt_TKEO_std_dec_22,1.214725608529911e-32
tqwt_TKEO_std_dec_23,1.0191305755656972e-32
tqwt_TKEO_std_dec_24,4.5951004355230996e-32
tqwt_TKEO_std_dec_25,9.064122809471161e-33
tqwt_TKEO_std_dec_26,9.257868745380909e-33
tqwt_TKEO_std_dec_27,1.3405067605802632e-31
tqwt_TKEO_std_dec_28,1.4714636346308809e-31
tqwt_TKEO_std_dec_29,5.458059023299671e-32
tqwt_TKEO_std_dec_30,2.2723290915104912e-32
tqwt_TKEO_std_dec_31,1.2421353472078112e-32
tqwt_TKEO_std_dec_32,6.783861098109537e-32
tqwt_TKEO_std_dec_33,1.1990384381019895e-32
tqwt_TKEO_std_dec_34,1.1481611535592473e-31
tqwt_TKEO_std_dec_35,1.7050799196163933e-32
tqwt_TKEO_std_dec_36,2.3695578267771785e-32
tqwt_medianValue_dec_1,1.71033040512311e-32
tqwt_medianValue_dec_2,5.673870696234675e-34
tqwt_medianValue_dec_3,2.4101213560088868e-32
tqwt_medianValue_dec_4,3.598717869876268e-34
tqwt_medianValue_dec_5,3.0747993220549755e-33
tqwt_medianValue_dec_6,5.2928179995593074e-33
tqwt_medianValue_dec_7,2.8529642739165398e-33
tqwt_medianValue_dec_8,7.492926746261908e-33
tqwt_medianValue_dec_9,8.36159871524936e-33
tqwt_medianValue_dec_10,1.6441749788788866e-33
tqwt_medianValue_dec_11,4.5965913833006986e-33
tqwt_medianValue_dec_12,3.504770914296831e-34
tqwt_medianValue_dec_13,1.0672137225673774e-34
tqwt_medianValue_dec_14,2.137428382177065e-33
tqwt_medianValue_dec_15,2.432776124264218e-34
tqwt_medianValue_dec_16,1.2084673547264049e-33
tqwt_medianValue_dec_17,2.5821630400657364e-34
tqwt_medianValue_dec_18,1.0178075140819175e-32
tqwt_medianValue_dec_19,3.2922278156458255e-33
tqwt_medianValue_dec_20,9.390278967935473e-34
tqwt_medianValue_dec_21,4.7197386197491866e-33
tqwt_medianValue_dec_22,3.461607330867645e-33
tqwt_medianValue_dec_23,1.1256872793541265e-32
tqwt_medianValue_dec_24,7.582349098368676e-34
tqwt_medianValue_dec_25,1.106803443953366e-33
tqwt_medianValue_dec_26,3.1703204050517366e-35
tqwt_medianValue_dec_27,1.1579107412172656e-34
tqwt_medianValue_dec_28,9.299047667552767e-34
tqwt_medianValue_dec_29,1.463836231505188e-33
tqwt_medianValue_dec_30,1.4056233719141852e-32
tqwt_medianValue_dec_31,4.545481973825378e-33
tqwt_medianValue_dec_32,1.2116687172912024e-33
tqwt_medianValue_dec_33,2.4040699980968655e-32
tqwt_medianValue_dec_34,1.9742514799261546e-32
tqwt_medianValue_dec_35,2.936229643758566e-32
tqwt_medianValue_dec_36,8.251565168907184e-33
tqwt_meanValue_dec_1,2.216924223724551e-66
tqwt_meanValue_dec_2,9.220860029657885e-68
tqwt_meanValue_dec_3,1.5452627246225462e-68
tqwt_meanValue_dec_4,2.516382046097551e-67
tqwt_meanValue_dec_5,5.833919821621001e-66
tqwt_meanValue_dec_6,1.802173877589858e-67
tqwt_meanValue_dec_7,1.0
